achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(256, 64, 128, 64, 256, 128)",17,3.226478630182694,1.791125645409672,"[1193.127463960268, 8.089873566698024, 5.09308387395058, 4.198201914289299, 3.701681935610896, 3.3285515134787533, 2.9447442267399464, 2.752327758704436, 2.5882425312296116, 2.398773626255908, 2.275679303246282, 2.1859443452171092, 2.0541361650373613, 1.9552275073948708, 1.8588429575487209, 1.8269151908952628, 1.791125645409672, 1.6711316020551124, 1.6273369318524862, 1.5611520247519084]","[19.098959397296515, 12.64257084593481, 6.462573747245633, 8.179513196555936, 5.194977122910169, 5.022140609974763, 6.895874986843187, 5.8013666405969735, 14.23277201944468, 7.83775165129681, 9.442870519599136, 9.293300083705358, 4.976298867439737, 6.3563821850990765, 16.63926990664735, 3.3522005689387417, 3.226478630182694, 8.913512531591921, 4.5988543617482085, 9.73301108029424]"
"(256, 64, 128, 128, 32, 256)",15,2.610018691238092,2.0865752265721866,"[861.1914545694987, 7.26745288987751, 5.469057832832901, 4.525166176284946, 3.9838475814858394, 3.517214038401876, 3.2711130886490163, 2.9754925928289437, 2.838253228466394, 2.6425332747764285, 2.4823273695640866, 2.381338499647494, 2.286247404769012, 2.2100720288946087, 2.0865752265721866, 1.994325695455549, 1.9023775772294358, 1.8344406331629748, 1.7866216278184668, 1.7365422600094098]","[10.62481638849998, 8.488010241060842, 12.743239539010185, 15.731332594034622, 11.44504485811506, 12.695783731888751, 5.456625894624359, 9.55945485951949, 19.91098507083192, 11.264089924948555, 3.339418929450366, 6.914062976837158, 9.925209240037567, 4.038761311647844, 2.610018691238092, 5.880952372842906, 5.911000319889614, 8.23291135320858, 4.588076404162815, 3.3128301902693145]"
"(256, 64, 128, 128, 64, 256)",12,3.199271571879484,2.351864802281333,"[857.3057865255657, 7.248920722761794, 5.317582472463788, 4.334905563089763, 3.8195594580371495, 3.4920589885885263, 3.1285680829461526, 2.87519031729172, 2.697355133139097, 2.5725337391691676, 2.4407807796074668, 2.351864802281333, 2.2071741099243685, 2.0780907254983947, 2.002956922415038, 1.9428225040978269, 1.9128560059713422, 1.7912993805400341, 1.7585003575367326, 1.6980474006058277]","[9.927427788170016, 8.361319167273384, 8.207252731128614, 8.059075628008161, 5.983488681365032, 14.295214760060214, 8.428556612559728, 16.76046643938337, 5.663565149112624, 8.439208775150533, 9.764164963547064, 3.199271571879484, 6.008483726151136, 7.4120713204753645, 5.539213837409506, 5.547153502094503, 8.911958280874758, 5.9157247786619225, 5.758877360090917, 3.710986947526737]"
"(256, 64, 128, 128, 128, 256)",14,4.2228392508565165,1.9229546950810057,"[856.7951348687737, 6.580934700841111, 4.827680845445062, 3.9590359325430633, 3.424629199220052, 3.059912200673855, 2.800404915494995, 2.577863044299363, 2.4613436384548235, 2.312684312479759, 2.1897364305554805, 2.0735290767932235, 1.950652010340468, 1.9229546950810057, 1.8468463652776776, 1.7560169369965555, 1.7000203633064297, 1.6559616393739183, 1.6136690566699796, 1.585605614014453]","[11.525675919591164, 8.672138885575897, 11.331259698283915, 6.461703976806329, 9.171741801865247, 4.995625388865569, 4.997149087944809, 7.170719244042221, 6.926133832153009, 9.017449593057437, 10.007481302533831, 5.030995977168181, 11.21093496984365, 4.2228392508565165, 7.0358458100533, 4.459968953716512, 8.13686685172879, 6.4200233926578445, 4.620257365460298, 5.216837201799665]"
"(256, 64, 128, 128, 256, 32)",20,3.6622984628288116,1.6068847984990975,"[2146.225736546435, 222.04103637582477, 7.8548044716267595, 4.228873683324039, 3.720604941842228, 3.273021160132242, 3.0439782930586796, 2.8114133583672083, 2.613784116554043, 2.4410927188545637, 2.295052383946884, 2.1588388237936913, 2.11073482307829, 1.9419572410323107, 1.8908246402990019, 1.7735692665438603, 1.705272276382533, 1.6547238067284107, 1.5928062798627, 1.6068847984990975]","[772.8267915686782, 20.05569788874412, 9.750809601375035, 5.074726095004958, 4.252898685786189, 9.333773068019322, 15.569064101394343, 5.383485044751849, 7.012912229615814, 10.315570899418422, 9.480146048020343, 4.443858012861135, 8.714918365283888, 8.914097435620366, 6.897036017203818, 5.9377170046981504, 5.287518428296459, 7.379668766138505, 4.895065594692619, 3.6622984628288116]"
"(256, 64, 128, 128, 256, 64)",8,3.294737309825664,2.544037203468696,"[1648.758666488769, 36.465646871256475, 4.938863988079987, 4.107773433637565, 3.5045046090265997, 3.1117665998222344, 2.840367104006302, 2.544037203468696, 2.4857544155793523, 2.3088866000289396, 2.173988217786717, 2.0725610507090617, 1.9274318695610837, 1.8488201351838442, 1.7869321764261379, 1.7178495475456577, 1.6560317212811102, 1.6267864714981617, 1.5745504230633802, 1.4965102582390126]","[198.8133278671576, 15.471346183699005, 22.391634804861887, 9.041859879785655, 6.957754743342497, 17.82269505092076, 5.547597943520059, 3.294737309825664, 8.726783942203133, 10.920126827395691, 6.589081078159566, 3.3250401409304873, 6.7745808289975535, 18.52085628314894, 16.210467377487493, 3.897557771935755, 23.317742114164393, 7.029292500748927, 11.11961267432388, 4.193234769665465]"
"(256, 64, 128, 128, 256, 128)",17,2.444050900790156,1.620425429089213,"[1187.0785150885988, 7.644462110781968, 4.672062556762609, 3.830818057738338, 3.304848078845982, 2.9689795838009916, 2.6626166324973513, 2.4793436555732233, 2.3642973391269253, 2.1880507146403514, 2.0998505165416903, 1.9656007029497582, 1.8719487336715335, 1.8104055234325354, 1.7400034053062552, 1.6867092222619517, 1.620425429089213, 1.5714686607880533, 1.5108567274199953, 1.4753629122442218]","[35.59662982395717, 5.8747492225802675, 8.545605216707502, 5.501857319656684, 7.93664398971869, 7.845666968092626, 5.3035167869256465, 7.920630737226837, 8.750025291832126, 4.624528675663228, 8.705113688293768, 3.6515007529939925, 3.9215225662503923, 3.199716495007885, 12.847072591586988, 5.778798779662774, 2.444050900790156, 7.727335487093244, 8.937793551659098, 6.166884787228643]"
"(256, 64, 128, 256, 32, 64)",11,4.7525071051655985,2.212326140533942,"[1649.4431211712417, 35.854739239598295, 5.112810017441456, 4.185907798958041, 3.553686457689305, 3.1959446396030255, 2.908811986921048, 2.644257079212332, 2.4824994377986833, 2.342512375665606, 2.212326140533942, 2.1008635698324993, 2.0274509599726898, 1.9416020776360243, 1.8806088924136721, 1.7962820688612224, 1.752849364036586, 1.6983922459566552, 1.667398548099097, 1.5891488005276833]","[185.39518862354512, 7.704128416217103, 14.075932064834905, 10.120259742347562, 6.08189176053417, 16.052177993618713, 6.927712625386763, 13.10278101356662, 5.1999234812600275, 6.239147531742952, 4.7525071051655985, 12.629894110621239, 5.107373938268545, 8.553745031356812, 12.269983281894605, 19.508091712484553, 8.671140393432307, 10.203170260604548, 36.763327929438375, 10.098080362592425]"
"(256, 64, 128, 256, 32, 128)",15,2.737612062571,1.8466572194647328,"[1191.3156980790104, 8.403261414702571, 5.306067414115585, 4.228833758654719, 3.691348173241295, 3.2936016950455405, 3.013761847770526, 2.775860991765479, 2.4725928074670733, 2.353920635916674, 2.232864242907406, 2.061396634890629, 2.0597722792110074, 1.9275873470903122, 1.8466572194647328, 1.7596614169586233, 1.7294765836956558, 1.6248001809548736, 1.6204890887485022, 1.5608243312987586]","[24.828433153580647, 7.972316625166912, 14.643912626772511, 7.951746887090255, 12.061601989123286, 8.98747205734253, 13.148220441779312, 6.481810696271001, 9.585469372418462, 5.966890592964328, 6.001117847403702, 7.634126556162932, 5.006594774674396, 7.950364623750959, 2.737612062571, 6.1806617902249705, 10.808101128558723, 10.625852049613485, 8.880273478371757, 10.179654929102684]"
"(256, 64, 128, 256, 64, 32)",9,3.7576283605731264,2.5229950401427668,"[2144.731298661476, 220.8036290994412, 7.702495922136361, 4.363661444092231, 3.744102827111202, 3.2759577384445313, 2.9895382357403144, 2.7127651247419458, 2.5229950401427668, 2.34081860844457, 2.217068937993836, 2.1139183727954434, 1.9546555036570838, 1.9228662827451617, 1.8178045421465807, 1.7570009698097482, 1.7138359332383017, 1.6850897305654584, 1.598660350252744, 1.5540955831573278]","[770.9321021255182, 27.89565456156828, 9.834860821159518, 14.873319285256523, 11.271951256966105, 8.442746892267344, 5.6964800941700835, 5.817045737286003, 3.7576283605731264, 6.4191259510663095, 6.612011977604458, 6.199471215812528, 17.972398115664113, 6.631246610563629, 8.87448070973766, 4.817358513267672, 9.927885036079251, 13.826383619892354, 7.5330343635714785, 4.3780898561283035]"
