achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(128, 128, 256, 64, 64, 256)",9,3.1696575515124263,2.6490331711893873,"[858.7743671675455, 7.046035141668222, 5.19726059217095, 4.283994067108536, 3.7567596126335068, 3.426356677987334, 3.0375269456121297, 2.8488836007720373, 2.6490331711893873, 2.514088745410125, 2.4122470442345523, 2.231969269876187, 2.182266043450374, 2.040093005313808, 1.9634789453567227, 1.8602244853973389, 1.8617263390885006, 1.7855047547640925, 1.6661261825973805, 1.651460460564111]","[10.474000512337199, 14.121777008990852, 6.68745722089495, 8.541535795951376, 13.502979813789835, 5.144681283405849, 10.94642228496318, 7.857594134856243, 3.1696575515124263, 15.110451902662005, 6.326312877693955, 6.786980517056524, 9.96042842281108, 3.621049771503526, 4.337716416436798, 8.899062891395724, 5.662704895953743, 5.164612186198332, 5.692137606289922, 4.55894348086143]"
"(128, 128, 256, 64, 256, 32)",16,2.9240398455639274,1.7628767101159817,"[2153.1773426806694, 233.16936026172834, 8.40952966210514, 4.315778527243553, 3.6766795154588894, 3.2281871837425014, 2.9340793185944714, 2.6629701836524156, 2.5346092713977697, 2.3274301491228524, 2.243270670187758, 2.088253695674588, 1.9809050916676092, 1.882572828028118, 1.8131438364890384, 1.7628767101159817, 1.6992446167884019, 1.6229439423217167, 1.5723873300221458, 1.5507628594242264]","[798.240214445153, 23.004864089343013, 8.206772371214264, 17.717758782055913, 7.375071749395254, 4.818383859128368, 4.561491392096695, 6.542123911332111, 8.214029715985667, 10.750322234873869, 6.228283959992078, 10.438554374539123, 4.9193128955607515, 10.360918006118464, 5.619588632972873, 2.9240398455639274, 9.933401244027275, 12.030230298334239, 4.64271617908867, 3.8953879244473515]"
"(128, 128, 256, 64, 256, 64)",20,2.968082549620648,1.481690626163396,"[1649.8287867176111, 35.57885819110719, 5.0660322773036155, 4.10240714731748, 3.630283374157104, 3.204569887925062, 2.9929117692615392, 2.6761135022930453, 2.47608646163897, 2.2901897453475186, 2.2357373953679316, 2.0638681761369497, 1.962047815322876, 1.875523876953993, 1.8252890487037285, 1.7043867099000325, 1.6674343419427622, 1.5818080632217373, 1.5713021641298366, 1.481690626163396]","[179.47698336231466, 17.830485110380213, 11.209855196427325, 12.35408810206822, 6.437433855874198, 6.056428656286123, 22.7297772388069, 7.2959757970303905, 5.144659728420024, 4.1712395439342576, 6.421700837660809, 10.092231838070617, 14.701680368306686, 4.873411042349679, 4.418612757507636, 5.606956910113899, 10.782866769907425, 6.455828043879295, 10.257755328197868, 2.968082549620648]"
"(128, 128, 256, 64, 256, 128)",18,2.7910956095676034,1.5224375755306803,"[1187.5089819108532, 7.8991993539569325, 4.900517291990156, 4.082133114134493, 3.447033693630405, 3.0778404318296326, 2.7955384474158693, 2.554803563330632, 2.3115579001054556, 2.1768469018469627, 2.0550816303227135, 1.930248442634652, 1.8150459620190427, 1.7392287533709079, 1.699657191188669, 1.629974795689762, 1.560596361637658, 1.5224375755306803, 1.4914124932169779, 1.3908841815417945]","[24.342621978448364, 5.999479157584054, 18.589025808840383, 16.629208603683782, 11.830801817835594, 9.738116497896156, 15.113201832284732, 3.8719305383915805, 11.631571117712527, 6.517753129102746, 17.513866911129075, 6.255979849367725, 4.674160996261908, 15.981216236036651, 2.9713101411352354, 3.035292695979683, 4.771417904873283, 2.7910956095676034, 4.065966861588614, 6.828467578304057]"
"(128, 128, 256, 128, 32, 256)",14,2.27283368183642,1.9650016711162355,"[860.7615657633888, 6.753978725993186, 4.888884174945818, 4.109565150344467, 3.544506753264027, 3.1891665291867564, 2.9105191792237473, 2.7382948169393617, 2.5538801315565838, 2.434970354464274, 2.2998447829139113, 2.1469053336513464, 2.092853554822208, 1.9650016711162355, 1.9437402193863644, 1.8318938422392932, 1.8224231205431403, 1.7266457417176717, 1.6782997374648527, 1.6326964245992581]","[10.85290460197293, 45.55386052812849, 9.56343005628002, 12.497320321141457, 8.817033203280701, 6.908572469438825, 4.212861596321573, 13.027449374296227, 17.26461363811882, 7.899060468284452, 6.023496885688937, 6.723112164711465, 9.198845911999138, 2.27283368183642, 5.902069476186012, 6.558672715206535, 3.643807973180498, 4.6438752875036124, 4.956105675016131, 7.992782407877397]"
"(128, 128, 256, 128, 128, 128)",9,2.7619253178032075,2.315987653699751,"[1186.3583181444153, 7.552090935604022, 4.62390879640807, 3.758143210166957, 3.3192833381301305, 2.987148259415697, 2.7036374312347653, 2.4535055359882705, 2.315987653699751, 2.1740862707500437, 2.1021611732563197, 1.9871380059249844, 1.8789067989865804, 1.8059098708344807, 1.7284277093017195, 1.6901058841483991, 1.6468593427345615, 1.5510022594117738, 1.5074725309736492, 1.481549285987945]","[18.96990139630376, 9.073320855899732, 6.371786287852696, 6.217520173715085, 5.087500032113523, 7.767633126706493, 6.654555948413148, 3.94631805711863, 2.7619253178032075, 7.58853022906245, 12.151555148922668, 8.300284706816381, 5.635872641388251, 6.021395644363092, 11.937720337692571, 7.009716734594228, 14.864972523280553, 6.46299901300547, 6.107155439805012, 7.036755941352066]"
"(128, 128, 256, 128, 256, 32)",19,4.359421511085666,1.4536062960467377,"[2152.662288869743, 222.63833575416885, 7.535733163288971, 3.896575919054745, 3.357920113412729, 3.0149605279625207, 2.647663315544085, 2.459549898987337, 2.241034859412088, 2.158244140319043, 1.9887449178543786, 1.9228602061906366, 1.838224928804903, 1.7362662308316452, 1.6992197134388998, 1.5994031848354144, 1.552843504323623, 1.5242316265155025, 1.4536062960467377, 1.453625063372689]","[763.089289451132, 18.2391448702131, 7.130557712243528, 4.847052866098832, 16.02198599795906, 6.904100734360364, 5.209654589088595, 10.537599242463404, 5.187458607615257, 5.725865213238463, 5.763601546384851, 7.461709246343496, 6.331564869199481, 20.629042294560648, 12.516613755907331, 5.144044890695689, 7.03398473895326, 8.73411860271376, 4.359421511085666, 7.790867051299737]"
"(128, 128, 256, 128, 256, 64)",20,3.163416855189265,1.3852274905428272,"[1649.167959653748, 35.88832778030152, 4.747903352711388, 3.879971281795914, 3.420570944220811, 2.9956890379880745, 2.711993061641784, 2.4869800907759942, 2.290429817531703, 2.150484279289723, 2.0318493586758297, 1.8774961275180995, 1.8062881616466553, 1.728315629243037, 1.6625084802423593, 1.5803830190323318, 1.5209266717659058, 1.476399534866129, 1.4544091563718446, 1.3852274905428272]","[197.0702805811045, 5.772054248926591, 8.535579335932828, 11.718154897495191, 5.809349551492808, 3.249333763609127, 8.041747745202512, 9.52750657529247, 10.849769134910739, 13.495389685338857, 6.113046363908417, 17.283925095383, 21.53135550751978, 7.002566395973672, 18.696637134162746, 22.17561626434326, 4.6943307117540005, 6.156498412696683, 8.781718346537376, 3.163416855189265]"
"(128, 128, 256, 256, 32, 32)",20,4.100973387153781,1.4109132185459679,"[2155.9419742449695, 235.3874655692108, 7.758593200959172, 3.792021733230834, 3.22226548411876, 2.8667670123541855, 2.634572425935591, 2.4240276260180686, 2.2770581522085562, 2.118000709969843, 2.036399673276387, 1.9263173227830959, 1.8542666992636672, 1.814098129364682, 1.7039991594147492, 1.627382609217647, 1.5962197541919314, 1.5403542696276893, 1.494789979767067, 1.4109132185459679]","[771.099721480389, 33.5288198042889, 10.336570029356041, 7.483609189792555, 7.679755459026414, 14.333032958361567, 10.718090553672946, 6.005741605953294, 4.124762060690899, 16.97357971814214, 13.888941443696314, 10.31198298201269, 7.5362419936121725, 5.4449945858546664, 8.188702169729739, 12.10602245525438, 6.233387246423838, 6.122071339159596, 4.421822270568536, 4.100973387153781]"
"(128, 128, 256, 256, 32, 64)",11,3.5114257578947106,2.06121681832345,"[1641.1784008143297, 32.59050249863539, 4.795802967268995, 3.8418185030098524, 3.288588399366307, 3.054831320650884, 2.7114721860766275, 2.505833420194728, 2.3456369222092004, 2.1303112038980165, 2.06121681832345, 1.9724023042414105, 1.8769916927990788, 1.7962754187730392, 1.7371510492385587, 1.6451586602897774, 1.5912110043331489, 1.5584260651140354, 1.4903987751207797, 1.4855690449984813]","[176.05051967075892, 7.031950707338294, 10.122814110347203, 10.253821908211222, 6.406954765319824, 6.259510059745944, 10.806551057465223, 5.269545005292309, 10.485622989888094, 14.848533494131905, 3.5114257578947106, 6.679138378221161, 15.06061180270448, 6.918711934770856, 4.651790253970088, 6.246565157053422, 18.977728824226222, 15.22936928028963, 10.185021760512372, 14.100446876214475]"
