achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(64, 128, 256, 256, 128, 128)",17,2.6418812591202405,1.6490714380494294,"[1191.2993557553514, 7.584547623296918, 4.590450131174376, 3.8926737194582057, 3.2819473675629114, 2.9253777410661264, 2.67944353378131, 2.494133011472917, 2.314774611975417, 2.164758443561159, 2.0944445346131397, 1.977499098636727, 1.8617798894203021, 1.7792323715179583, 1.719425816177915, 1.6656877070970502, 1.6490714380494294, 1.5462936851894218, 1.525811268607911, 1.4777411777140472]","[19.10431024979572, 14.3073909720596, 5.154017282991993, 4.7295456273215155, 8.438978925043223, 8.986509945927834, 4.339295450521975, 8.722757266492259, 9.317828227062614, 6.604570359599833, 4.536645592475424, 5.239732640130179, 11.187195738967585, 11.852413420774498, 17.78482840012531, 8.186309006749367, 2.6418812591202405, 8.471113487165802, 8.098195869095472, 11.05944249094749]"
"(64, 256, 32, 64, 128, 256)",15,3.169734623967385,2.0729391142234324,"[858.1472503317094, 8.169706022373239, 5.848381348166178, 4.839061369803714, 4.1202746207939205, 3.729165647081412, 3.391116049238168, 3.10663452300331, 2.84732282622818, 2.659238761466789, 2.5646824599397333, 2.3570713964338594, 2.2578152127911477, 2.199875147676305, 2.0729391142234324, 2.0221976318457022, 1.9507929201961514, 1.850511866217994, 1.8284700879736022, 1.7475929843416529]","[15.272810906780009, 9.93221041620994, 15.893695549089081, 12.597049800717102, 11.795790497137576, 6.266996442055215, 8.75821052278791, 4.908950474797463, 22.145043801288214, 8.71226540390326, 20.116529600960867, 7.6760783341466166, 11.150689232106112, 10.396988109666474, 3.169734623967385, 5.672922805863983, 8.754950917496974, 16.57224080027366, 13.239263476157674, 4.442183983569243]"
"(64, 256, 32, 64, 256, 128)",16,4.808485478770976,1.8674898909762994,"[1193.8031972900321, 9.445005155938748, 5.980003104139378, 4.724751911065685, 4.092581739740296, 3.5519929141043534, 3.2348933124976216, 2.9438023972701157, 2.636036545614605, 2.483605905061967, 2.3843087343090086, 2.29470103239986, 2.1361483511799975, 2.0585046388183437, 1.9646539963417358, 1.8674898909762994, 1.8346782278553482, 1.7581634115982923, 1.6936464115756906, 1.638229820644218]","[20.50612922590606, 7.488804943707525, 5.719457368461454, 9.963928329701327, 5.382013603132599, 19.103617784928304, 12.101409376883993, 5.199743694188643, 5.4036730795490495, 5.358575674952293, 29.29407516790896, 9.65120217264915, 7.9718676051315, 7.693904837783502, 5.66956648534658, 4.808485478770976, 5.457075177406778, 11.171817088613706, 9.6924866267613, 5.257071499921838]"
"(64, 256, 32, 128, 64, 256)",9,3.1631726050863462,2.936970876616694,"[859.654093522125, 7.781224036515098, 5.696970946959668, 4.676021090682185, 4.11177688572594, 3.699656733338201, 3.391445140654181, 3.1403765933369887, 2.936970876616694, 2.7358505831643583, 2.6054819702966494, 2.4864794177271263, 2.3721350770490295, 2.2623693761293935, 2.1778679112389905, 2.0728778021327465, 2.01057838824015, 1.95560244963302, 1.9006768216858951, 1.815666962537885]","[12.704352077172727, 10.574308881954272, 12.782320810824025, 9.689329517130949, 5.831650792335977, 4.258896165964555, 6.9747698890919585, 5.218307665416172, 3.1631726050863462, 19.19596422935019, 5.811945584355568, 8.65186890290708, 4.612493646388152, 8.038994594496124, 4.146156474035614, 6.731455496379307, 6.278640309158637, 7.4452135319612465, 7.154027627438915, 4.808306878926802]"
"(64, 256, 32, 128, 128, 256)",6,5.417129419287857,3.4457123615907186,"[858.7014425991609, 7.77712949767997, 5.62166849148287, 4.439306805700708, 3.9048459570562475, 3.4457123615907186, 3.1304922649071076, 2.880233761122338, 2.6965654406260033, 2.509164343514947, 2.3062671889488473, 2.204383244964721, 2.14908516054403, 2.063351994217188, 1.9540685575298617, 1.8777334060820838, 1.8012303351271004, 1.7734556877572383, 1.7118508457730655, 1.6508481448285273]","[13.475894275976687, 7.510594367980957, 13.937465891546132, 7.718023241782675, 9.071351581690262, 5.417129419287857, 16.888472780889394, 10.191567635049624, 8.885177120870473, 9.375182706482557, 6.375254884058116, 7.99856787798356, 16.8069209468608, 5.951568924650854, 7.036490746906826, 8.135971249366293, 7.936514290011659, 10.516259952467315, 10.348595298066432, 9.690821706032267]"
"(64, 256, 32, 128, 256, 64)",17,3.04817119423224,1.7194002051673516,"[1647.338709617502, 36.81881531160982, 5.48239252890065, 4.372225359709461, 3.7403075678763535, 3.2550676159213157, 2.9753578814494595, 2.6814509468816383, 2.496732748951657, 2.3832088034850067, 2.1695842422858576, 2.114875410197131, 1.9859119716086622, 1.898428833254097, 1.8439009629011969, 1.7522544059330285, 1.7194002051673516, 1.6525905326229178, 1.6369162644678144, 1.5606092785541243]","[205.47588099265585, 15.669446234800377, 9.271230337571124, 4.816323674454981, 6.602820279646893, 4.235949358161615, 8.648734107309458, 18.449132238115585, 8.64506187730906, 6.61855164839297, 5.902861502705788, 6.394612925393241, 17.861910430752502, 6.40119102049847, 4.693449088505337, 13.11638525554112, 3.04817119423224, 10.756821486414696, 7.011485562032583, 3.601826855114528]"
"(64, 256, 32, 128, 256, 128)",10,3.541410448599835,2.338806691701366,"[1187.9431848211364, 9.045196641698496, 5.593877022583737, 4.526775079918124, 3.823804245331453, 3.297980787811019, 3.020189467279306, 2.6920732493015413, 2.475330164950591, 2.338806691701366, 2.1995030911438023, 2.077054979858138, 1.9497792162043515, 1.914488403734765, 1.8121798152402806, 1.7314356934359727, 1.6870639618481929, 1.61671333671023, 1.5906939875415025, 1.5495956369905612]","[19.45090626697151, 9.450269961843686, 11.18155136886908, 7.669488595456493, 7.5527797475153085, 4.759999143834016, 9.47800976889474, 12.33676764429832, 7.089470216206142, 3.541410448599835, 8.754512665223102, 9.977272705155976, 4.15483343844511, 4.681106338695604, 4.883893674733687, 4.368559212100749, 5.000792600670639, 5.738696258895251, 8.57080610917539, 7.661902456867452]"
"(64, 256, 32, 256, 64, 128)",16,2.67535108692792,1.9178516131076662,"[1191.000032281713, 8.54470315104323, 5.520577033360799, 4.558647187767853, 3.9380336301454233, 3.5991991933295346, 3.1957048523548113, 2.9469261631895116, 2.7363015474312946, 2.63209168916405, 2.4149148268911214, 2.292845049137684, 2.1367741358022507, 2.0482667166489654, 2.008298483724887, 1.9178516131076662, 1.8232013333643935, 1.874709585014057, 1.7087688493511648, 1.6420634726615488]","[28.99547870791688, 8.381724707934321, 12.803305645378268, 5.513410431998117, 9.032091714897934, 4.512553122578835, 5.779126765776653, 5.812373102927695, 4.678421511942027, 24.542410188791703, 14.816607144414162, 11.900158531811773, 10.04031142409967, 18.952436778010153, 9.134358965620702, 2.67535108692792, 5.455102317187251, 9.433288146038445, 11.633487088339669, 4.392598183787599]"
"(64, 256, 32, 256, 128, 64)",19,3.52367986464987,1.698107057735239,"[1642.8995851206428, 37.20526358102098, 6.114909948884966, 4.9416544811717475, 4.181149530736253, 3.6764694299036056, 3.2763739104157015, 2.9552721750749797, 2.7349195249794014, 2.5333334493691333, 2.4243417433097503, 2.2565476365463724, 2.099879387024455, 2.016608219911621, 1.9821001622185908, 1.8646107243460872, 1.8227212300208377, 1.7349826216833313, 1.698107057735239, 1.610219609072862]","[176.88578718535754, 13.008260960481605, 7.964808668409075, 11.654943709470787, 10.971009575590795, 6.905412493919839, 6.29846934882962, 8.100741945967382, 4.776190100883951, 5.12758579059523, 6.303621584055375, 4.756030442763348, 16.633861687718607, 10.920323118871572, 13.18963048896011, 6.9229110309055875, 4.99445282196512, 9.98482354806394, 3.52367986464987, 8.895988931461256]"
"(64, 256, 32, 256, 128, 128)",15,3.8102342693173155,1.92935412450862,"[1191.7753792655346, 8.880153258912799, 5.486739327340674, 4.505070419984195, 3.820038453168294, 3.4442102743632694, 3.0651521275881612, 2.849923306222119, 2.627160275891101, 2.434543518076171, 2.288161776307229, 2.1713434031934598, 2.122272983888446, 2.035164167449743, 1.92935412450862, 1.846729420150913, 1.7835005999153928, 1.7721730552028878, 1.648660042722613, 1.6123754392304925]","[19.888125322302994, 7.43959642429741, 4.715584132136131, 6.360696593109442, 11.132919223941101, 12.24625166095033, 5.649062215065469, 7.466093759147489, 6.157281170085985, 5.368119565808043, 5.632631579223944, 4.214302179764728, 13.527048412634402, 4.917875007707245, 3.8102342693173155, 8.272085656925123, 4.557082789284842, 5.014670367143592, 10.375784815574178, 8.802993686831726]"
