achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(512, 32, 64, 32, 64, 128)",20,3.801248572310623,2.1665485351430136,"[1195.1045799190274, 9.64989913065957, 6.424915111376835, 5.575674507805105, 4.9214162571573965, 4.327155176418769, 4.087542600599165, 3.864956141331904, 3.5903752780475986, 3.2437955736435855, 3.09749560171698, 2.979350368046245, 2.920114457675079, 2.718979450622923, 2.597573843967928, 2.497063320108919, 2.4146660116074163, 2.305216858411405, 2.266511111807362, 2.1665485351430136]","[22.290063819106745, 7.108241995986627, 10.402034331341179, 9.836531376352115, 7.667594174949491, 6.906098915606129, 7.565736493285821, 17.770450397413605, 6.331535436669174, 25.48236950076356, 4.690429891858782, 9.596117564610072, 5.860173979584052, 6.649960449763706, 5.856659704325151, 7.890090849934792, 8.194553584468608, 8.611820512888382, 5.388034231808721, 3.801248572310623]"
"(512, 32, 64, 32, 128, 32)",14,4.0341776098523825,2.7449018323245173,"[2155.2431390651664, 236.2698382181248, 10.276675930066592, 5.792721021433061, 4.969915234866267, 4.385218004860297, 4.0300372183933195, 3.783015030371587, 3.5387423054756972, 3.2854963021609294, 3.0428310262465232, 2.883085809198798, 2.799585315554622, 2.7449018323245173, 2.541458064514351, 2.4649499357763816, 2.3749362281836204, 2.2789280228782975, 2.235348283091774, 2.1071264087407933]","[803.7404834980867, 29.750609203260773, 6.969186023790009, 9.905981891009272, 5.694115974465195, 6.165125394354061, 7.087681565965925, 6.388139208968805, 4.701144850983912, 11.848846231188093, 5.056032161323392, 19.31078204330133, 12.557000335381955, 4.0341776098523825, 11.51849465467492, 7.022215449080175, 5.37519789228634, 5.571656830456792, 8.755742296880605, 13.034184144467723]"
"(512, 32, 64, 32, 128, 64)",18,3.025985824818514,2.2169527677952634,"[1653.9102840315088, 38.17419752027666, 6.851177261686705, 5.640732971067721, 4.953183097644064, 4.513276577267088, 4.127830318216578, 3.795630178082654, 3.4491420774058406, 3.193584392773278, 3.072370085564354, 2.933352117516753, 2.820104925163234, 2.6555438367173125, 2.556520819392763, 2.4175440692793115, 2.3121051438432505, 2.2169527677952634, 2.180355573812578, 2.07962604255264]","[186.29225189831791, 8.71624875555233, 9.435586510872355, 14.239819098492058, 6.424619499517947, 5.433368429845693, 8.28693073136466, 7.7327176746057, 6.180249992682009, 4.897152613620369, 5.339894776441613, 3.086857345639443, 7.811253752027239, 7.60955456324986, 5.143662671653592, 8.121588478283007, 61.973376916379344, 3.025985824818514, 3.930536895382161, 7.8706857963484165]"
"(512, 32, 64, 32, 128, 128)",15,3.994104348883337,2.326240048609225,"[1191.9978275060382, 9.874877061182051, 6.380461969473256, 5.191971957073277, 4.5999419507448716, 4.150015943828839, 3.74963974220354, 3.4717218140828865, 3.2294569023640083, 3.076353830689049, 2.8377359641696813, 2.7828795260265555, 2.6262340951155747, 2.4620738717069397, 2.326240048609225, 2.3288681343011346, 2.183497493177551, 2.1315061683947722, 2.009083666763479, 1.98297387273374]","[23.690212677936163, 10.93851410612768, 8.321537737943688, 5.838976845449331, 6.26268026780109, 5.105665693477708, 5.7605607850211005, 4.538467611585345, 7.013192882343215, 5.588464586102233, 13.015539655880053, 8.442419957141487, 8.652089235733966, 4.849967825169466, 3.994104348883337, 4.363735099228061, 6.107121920099064, 5.769535736161835, 6.847575766699655, 9.933591745337662]"
"(512, 32, 64, 64, 32, 32)",19,3.7251516604910093,2.1901524500906535,"[2150.007520447819, 224.46253865082517, 9.558431211998846, 5.726567328857752, 4.991325800193726, 4.433862114929095, 4.007520120705354, 3.770537094587081, 3.4387002669368045, 3.226205653026785, 3.058668798689685, 2.9180112192926417, 2.7691698749724507, 2.5734985059167474, 2.551657663406094, 2.517732870727947, 2.381874435183945, 2.2964052536924275, 2.1901524500906535, 2.1739685212657176]","[796.7507604482223, 29.793128578030334, 8.980294140017762, 9.070634150991635, 4.813394668150921, 7.053748826591336, 5.591989235002167, 6.578438958343194, 10.869576405505745, 8.84684679946121, 9.850057572734599, 14.533024223483338, 5.925955791862643, 10.326852973626584, 8.960253044050567, 3.892839548539142, 9.116985029103805, 5.322453854035358, 3.7251516604910093, 11.240115963682836]"
"(512, 32, 64, 64, 32, 64)",15,3.1005977197569243,2.516902161403999,"[1653.62096201058, 38.96200561577685, 6.4353850053303345, 5.298763842306039, 4.638503856626387, 4.1264966828017515, 3.815120615921194, 3.5433724371375215, 3.3749996948567675, 3.1896921251142936, 3.0419615185708317, 2.9111600011688856, 2.6799123542165053, 2.6473061188089155, 2.516902161403999, 2.4571077449329883, 2.3824855980205863, 2.309213161061648, 2.2317083659025587, 2.20265244067868]","[195.2368452111069, 12.825396936766955, 6.932324463007402, 6.948667720872528, 4.68045238572724, 5.023273716167528, 3.5321207411435185, 6.151681403724515, 4.506481238773891, 5.992186517131572, 5.774228173859266, 5.5550568979613635, 4.366905961717878, 7.201167461823444, 3.1005977197569243, 3.258389511886908, 3.7887292832744364, 3.800818693881132, 21.5684760541332, 4.5251335951746725]"
"(512, 32, 64, 64, 32, 128)",16,3.0517074867170684,2.6225876781042663,"[1193.163480871502, 10.705861385636227, 6.8692507174234745, 5.570016832481879, 4.886427598059245, 4.310427288417794, 4.090251502187857, 3.7959728042962744, 3.5227413568073573, 3.391288067564894, 3.1885803521561, 3.016053706441452, 2.8916777304550623, 2.743784097274416, 2.621895677129292, 2.6225876781042663, 2.4581909890332185, 2.3716106991176584, 2.2633381550358154, 2.177540140754127]","[23.630386352539062, 18.43347520244365, 6.547849596763144, 6.72404991850561, 7.4352021460630455, 6.828717903215058, 7.999955488710987, 3.916530801325428, 8.06309640164278, 5.545123173266041, 5.883782523018973, 5.4775950227464945, 5.846617873834104, 8.979978026175985, 10.328019122688138, 3.0517074867170684, 4.523575495700447, 13.60713257108416, 8.179161937869324, 14.180155578924685]"
"(512, 32, 64, 64, 64, 32)",10,3.7578389985220775,3.2482091382366263,"[2147.256323561598, 212.3046723518762, 8.367147481482183, 5.3981099559992245, 4.638953138401348, 4.253692338897913, 3.901682706145025, 3.616302267818863, 3.407294885561599, 3.2482091382366263, 3.0082148676981832, 2.972003951821311, 2.802641608473655, 2.7202554920834485, 2.6370755351308532, 2.5114563538081547, 2.4413600038478536, 2.3871401381573985, 2.3093760515371415, 2.208324328759967]","[764.8743541483976, 26.510636446427327, 6.003649998684319, 7.04782054375629, 6.572611229760306, 7.336724938178549, 5.702218571487738, 5.756293160574777, 8.343189283293121, 3.7578389985220775, 4.516741095756998, 11.046245010531678, 6.705902965701356, 5.970482373724178, 4.570143120629447, 13.430286611829485, 5.83160155646655, 4.378954449478461, 6.214097689609138, 4.154270678150411]"
"(512, 32, 64, 64, 64, 64)",17,3.2469834721818263,2.473591858480842,"[1645.2330097289623, 38.03323902503351, 6.77523704166434, 5.408523569877373, 4.758168437510763, 4.45346973102383, 4.014364599232245, 3.7294842803573176, 3.5208366690235335, 3.34959012059764, 3.1329682627364366, 3.05143598240797, 2.9503808924769377, 2.8021767643938293, 2.652628572727633, 2.5622774454785153, 2.473591858480842, 2.3908768417620956, 2.354048254818097, 2.232044587227536]","[195.04759185168209, 10.134640440648916, 17.25304922765615, 6.919297709756968, 5.32952153925993, 4.853364024843488, 4.675834981762633, 6.660850164841633, 7.217700729564744, 7.9342396648562685, 3.3444969848710664, 9.699430679788394, 6.148391786886721, 4.983950848482093, 3.435323941464327, 6.508788035840404, 3.2469834721818263, 5.1533263800095535, 11.578324892082993, 7.427875275514563]"
"(512, 32, 64, 64, 64, 128)",12,4.517401831490653,2.746430844305861,"[1196.6047186216804, 10.051610571803765, 6.194560154034958, 5.2483775455661466, 4.518612902047827, 4.105340873828927, 3.788045884534903, 3.4170422499768427, 3.2552679111255043, 3.1427104671118067, 2.8913632411598753, 2.746430844305861, 2.6310142959479723, 2.4981647374551317, 2.44256889277622, 2.3229599833081607, 2.2026490135811296, 2.1190074520848854, 2.1035893895113427, 2.033616743668219]","[22.360791225822606, 10.795669565395434, 8.194996794875788, 11.598908891483228, 7.511412751917937, 7.920275620051792, 6.490211058636101, 10.968920532537966, 7.3119076514730645, 4.585295156556732, 10.052001982319112, 4.517401831490653, 5.968617127866161, 20.301913747982102, 10.214496301144969, 4.709001356241655, 5.056024692496475, 7.6696018296845105, 15.152792590005058, 10.84635186681942]"
"(512, 32, 64, 64, 128, 32)",14,4.101374935130684,2.506332416176389,"[2149.4101294473035, 216.86651541674095, 8.813579003829869, 5.34503872050089, 4.623924321553271, 4.046262215157554, 3.7480502364578507, 3.431468030562851, 3.224064044306845, 3.017540792013869, 2.875028529942917, 2.666311019245404, 2.611614901458037, 2.506332416176389, 2.4402589301607307, 2.262231483123137, 2.2007829089213558, 2.150667781173437, 2.076601226310817, 1.9313663735188993]","[771.9726699517697, 17.759356401404556, 19.75245322013388, 7.701268935690121, 16.859338847958313, 17.569255906708385, 8.641736633923589, 7.4823702500790965, 7.898797550979926, 6.831898003208394, 9.616810749988167, 5.498464783843683, 5.9802563190460205, 4.101374935130684, 6.6271394320896695, 5.040093397607609, 6.894528598201518, 4.269924122460035, 5.691123826163156, 12.256862212200554]"
