Strategy,Popsize,MSE Overall Avg,MSE Overall Std,RMSE Overall Avg,RMSE Overall Std,MAE Overall Avg,MAE Overall Std,MAPE Overall Avg,MAPE Overall Std,Elapsed Time Avg,Elapsed Time Std
best1bin,14,22.3491186499309,164.35789716914897,0.7962064407723282,2.8582030352771737,0.7962064407723282,2.8582030352771737,inf,nan,140.28659632444382,72.5310379543162
best1exp,14,10.606637945892686,88.98401158360257,0.5281243061479912,1.8670048259192484,0.5281243061479912,1.8670048259192484,0.013617286559208039,0.10706229828855572,139.99183583855628,85.5620153316764
rand1exp,14,3.808365164017253,20.655519136724674,0.3916052993377776,0.9609553634297575,0.3916052993377776,0.9609553634297575,0.006438551491283507,0.02863549198336782,137.866782315361,92.63961131684208
rand1exp,14,3.808365164017253,20.655519136724674,0.3916052993377776,0.9609553634297575,0.3916052993377776,0.9609553634297575,0.006438551491283507,0.02863549198336782,139.580080678463,85.39863000732569
rand2bin,14,3.7245934360902124,16.86201600297345,0.4585378443096302,0.9343387761826372,0.4585378443096302,0.9343387761826372,0.006723311055123419,0.01929140830348644,140.32917643713952,87.51852126210835
rand2exp,14,4.652194908587025,16.510631661894497,0.6066563574883175,1.0138118556061384,0.6066563574883175,1.0138118556061384,0.00947312312945783,0.02392398465685866,141.15279349923134,85.4562786013181
best2bin,14,3.9151185802825936,78.86057893509705,0.09299903736646703,1.2834656084266838,0.09299903736646703,1.2834656084266838,0.0015052408145219652,0.023497055847221154,138.91242240834237,90.959999670881
best2exp,14,3.7470170328180927,82.0104867168655,0.07036504866065542,1.1580283861298377,0.07036504866065542,1.1580283861298377,0.007297980817992967,0.1481906547781738,137.75207692360877,96.84591300599082
randtobest1bin,14,7.874545825146912,122.81934392838724,0.16141292789214087,1.8469218731872499,0.16141292789214087,1.8469218731872499,0.004331178984353778,0.06085625347644441,141.8343505358696,86.98892074013139
randtobest1exp,14,8.150606181799434,105.52607896050608,0.1782842172469107,1.922397049334849,0.1782842172469107,1.922397049334849,0.023688851304118595,0.6508707601465821,140.290067238426208,89.46240072115644
currenttobest1bin,14,6.53972517537015,102.19204468046348,0.1407845745366463,1.6912856385693567,0.1407845745366463,1.6912856385693567,0.40486630969090864,11.371980446918768,139.04745887613296,89.35475207669762
currenttobest1exp,14,2.7930599451238085,49.851965062239245,0.09171920824167172,1.066229893644884,0.09171920824167172,1.066229893644884,0.00207972610024964,0.027402641750324322,140.2825311164856,82.13769095977766
best1bin,28,6.841121675114977,82.68283405449391,0.30206730179917085,1.5669453419980997,0.30206730179917085,1.5669453419980997,0.008902968132415739,0.09222244794840966,274.3859701747894,180.65710332845
best1exp,28,2.619745630723415,21.661180199184024,0.1951020207155865,0.8384000974187636,0.1951020207155865,0.8384000974187636,0.004332352479528208,0.06458819315457705,273.5093793759346,186.4760481909867
rand1exp,28,1.5951267005750593,9.645348605144102,0.1993740942552396,0.6554370798227813,0.1993740942552396,0.6554370798227813,0.002835717206755376,0.011769605030243784,282.0207444345951,88.69189455034866
rand1exp,28,1.5951267005750593,9.645348605144102,0.1993740942552396,0.6554370798227813,0.1993740942552396,0.6554370798227813,0.002835717206755376,0.011769605030243784,275.2060996925831,198.51419224130836
rand2bin,28,2.692967742425115,11.640810958586563,0.3996545261994716,0.7946431044914519,0.3996545261994716,0.7946431044914519,0.006008928926280305,0.01617409895108055,280.7528631911278,238.14226990617507
rand2exp,28,3.613709678450707,12.26933130074611,0.5301200864592948,0.8883699928433082,0.5301200864592948,0.8883699928433082,0.007890177430951592,0.014930311244332237,283.07716281437877,259.4497686723676
best2bin,28,3.436374777937442,76.1325065114887,0.0617862717007952,1.105537220512645,0.0617862717007952,1.105537220512645,0.006292808661441658,0.12823415951805164,280.4482103316784,250.04929667191576
best2exp,28,0.03984154411087779,1.0844078565040605,0.0053455310787194465,0.10675981509867859,0.0053455310787194465,0.10675981509867859,6.772845067446232e-05,0.0013665768477159402,280.41840471458437,254.51251500759028
randtobest1bin,28,3.179056594987068,72.91692941875516,0.056360350553749834,1.206485775450533,0.056360350553749834,1.206485775450533,0.0010285023052837106,0.02226824170750443,283.2591058220863,255.59774794978685
randtobest1exp,28,2.149258446314657,66.8856398125017,0.034325241247501755,0.935898428536276,0.034325241247501755,0.935898428536276,0.0005476854768147771,0.015345061972690408,283.7131459965706,267.97779415186466
currenttobest1bin,28,0.5292201370435573,11.737498910305968,0.03243007899690282,0.4387855752464117,0.03243007899690282,0.4387855752464117,0.0017187863019264905,0.039628564870520355,282.72508981156346,256.98858340446264
currenttobest1exp,28,0.2562853646234046,3.4620141930922212,0.026193568517072982,0.2707328301902442,0.026193568517072982,0.2707328301902442,0.00041212663620181824,0.005139367772749127,281.2568283252716,263.1558856793829
best1bin,35,5.901957018322146,72.2725118989857,0.2685789280034442,1.4556540537099318,0.2685789280034442,1.4556540537099318,0.029922154938679637,0.7203216795695228,348.8856545279026,17.128068404767912
best1exp,35,3.7016166629030383,45.240785095928366,0.18572610010000873,1.061472564190405,0.18572610010000873,1.061472564190405,0.006245015887805189,0.08789057117092564,348.0396875491142,16.83595052150836
rand1exp,35,1.1723443010510513,7.156083192674953,0.17103181383393015,0.5571091447916864,0.17103181383393015,0.5571091447916864,0.0022335016743576554,0.007199246147256006,350.3765539419651,16.34870052418255
rand1exp,35,1.1723443010510513,7.156083192674953,0.17103181383393015,0.5571091447916864,0.17103181383393015,0.5571091447916864,0.0022335016743576554,0.007199246147256006,349.3069062197208,16.42240253644624
