Strategy,Popsize,MSE Overall Avg,MSE Overall Std,Elapsed Time Avg,Elapsed Time Std
best1bin,14,22.3491186499309,164.35789716914897,159.6527733426094,44.27895610874305
best1exp,14,10.606637945892686,88.98401158360257,174.62340160822868,57.17189403484765
rand1exp,14,3.808365164017253,20.655519136724674,179.92296466970444,48.68422820817491
rand1exp,14,3.808365164017253,20.655519136724674,177.30548745679855,44.3937555260541
rand2bin,14,3.7245934360902124,16.86201600297345,142.56282359790802,63.43219134748219
rand2exp,14,4.652194908587025,16.510631661894497,148.71599124264716,85.18491342449472
best2bin,14,3.9151185802825936,78.86057893509705,143.38897159528733,91.62483937139466
best2exp,14,3.7470170328180927,82.0104867168655,146.7230820660591,89.88976169387759
randtobest1bin,14,7.874545825146912,122.81934392838724,141.17090934991836,92.20409751773106
randtobest1exp,14,8.150606181799434,105.52607896050608,141.56902312493324,62.19247231178586
currenttobest1bin,14,6.53972517537015,102.19204468046348,142.2562906842232,67.16940201932368
currenttobest1exp,14,2.7930599451238085,49.851965062239245,140.08750501823425,59.99922761961457
best1bin,21,6.226454661594128,53.40784695266473,201.52016380143166,165.05299749657507
best1exp,21,10.542375478929786,104.41261753703836,205.84833384251596,102.30356511667767
rand1exp,21,1.9285044146474404,9.837698955379015,204.62102227592467,123.43185931618677
rand1exp,21,1.9285044146474404,9.837698955379015,200.99096334457397,194.17628252939195
rand2bin,21,3.0471427882007838,11.782937956754862,204.96322345352172,208.12695361235734
rand2exp,21,4.140113647520641,13.411751448091534,205.50507987117768,197.19284346078317
best2bin,21,6.5923796842581135,106.77595578654437,202.4814767625332,213.09022776379254
best2exp,21,1.5947099593220568,45.03545813274652,202.4871998796463,174.85646731469618
randtobest1bin,21,6.492265780032759,103.58898654052739,206.41108110690118,196.76414448032318
randtobest1exp,21,3.546298422022363,65.11257252957776,203.51127358531951,204.17052831726903
currenttobest1bin,21,2.7940046840822856,70.37409096764372,206.12263552975654,195.59890108971948
currenttobest1exp,21,2.1118377933200336,53.845629662288424,204.33364631485938,147.816446426511
best1bin,28,6.841121675114977,82.68283405449391,304.88108025074007,239.36439726873087
best1exp,28,2.619745630723415,21.661180199184024,277.3673927795887,213.9519454898843
rand1exp,28,1.5951267005750593,9.645348605144102,274.21921985936166,170.57420271957406
rand1exp,28,1.5951267005750593,9.645348605144102,270.7313612232208,121.47253152795658
rand2bin,28,2.692967742425115,11.640810958586563,272.39309523916245,211.9584746066134
rand2exp,28,3.613709678450707,12.26933130074611,275.14333406448367,139.97973558210836
best2bin,28,3.436374777937442,76.1325065114887,277.19667949366567,177.4614358427535
best2exp,28,0.03984154411087779,1.0844078565040605,276.1217502925396,134.2762938314635
randtobest1bin,28,3.179056594987068,72.91692941875516,277.0235553867817,193.34406233220244
randtobest1exp,28,2.149258446314657,66.8856398125017,276.31822346925736,204.24215839359852
currenttobest1bin,28,0.5292201370435573,11.737498910305968,273.6143536167145,200.12787540993898
currenttobest1exp,28,0.2562853646234046,3.4620141930922212,276.07123506069183,191.00816563133168
best1bin,35,5.901957018322146,72.2725118989857,339.871234650135,312.61037549813784
best1exp,35,3.7016166629030383,45.240785095928366,336.68687395358086,317.9058331346716
rand1exp,35,1.1723443010510513,7.156083192674953,338.0552538883686,421.9397968874417
rand1exp,35,1.1723443010510513,7.156083192674953,338.5738777935505,358.0509262624181
rand2bin,35,2.7062293367751997,10.093017761542656,357.0298840970993,101.02616098966573
rand2exp,35,3.748761507989841,13.116039603830023,352.66788183164596,49.76464694751897
best2bin,35,0.10772224705444607,2.416150485019618,350.24224508953097,40.996141982879536
best2exp,35,0.02719498911933342,0.8483433794052431,344.4895151798725,65.99279855861752
randtobest1bin,35,1.890655189728401,59.1631578985014,347.3000445687771,57.29558985608889
randtobest1exp,35,0.016791180146405463,0.5246933203846683,347.52173902273177,88.32019221162805
currenttobest1bin,35,1.9476862686687744,54.639046994282076,344.7013356294632,65.35127588237654
currenttobest1exp,35,0.18500422593414845,2.8798438238316333,358.70937680506705,56.599951915207015
best1bin,42,0.9062635329153259,6.142387405376978,403.5484850702286,117.29336659226124
best1exp,42,0.9966246231432291,6.7591350472148735,406.34904605340955,155.565315095769
rand1exp,42,1.0015653858445006,5.493307034606846,408.76125573205945,181.14282088404178
rand1exp,42,1.0015653858445006,5.493307034606846,407.91415070152283,123.29584518903278
rand2bin,42,2.3906705233761314,8.759209630549273,429.29070634031297,261.69347175882865
rand2exp,42,3.982756301949979,13.891019875782998,408.10995022177696,148.43637806160856
best2bin,42,0.023356903632710493,0.6331189976622018,410.88296342921257,178.9775588194136
best2exp,42,0.0038469373762052453,0.10455567215224312,410.2871199638844,177.73197103743726
randtobest1bin,42,2.6989688090917645,60.23069601300603,413.2689050652981,162.16014616228694
randtobest1exp,42,0.08435465024373623,1.9116886001747555,414.5856773271561,179.3619248458114
currenttobest1bin,42,0.137925938272951,3.639503407144133,409.5648666062355,178.71552817441213
currenttobest1exp,42,0.18862440434326527,2.946587583079719,410.8115674805641,165.86674026637502
best1bin,49,7.619459677795715,86.00218848917251,488.48013069629667,42.273018539502914
best1exp,49,1.5188812705111376,15.181578680750109,489.7327674100399,51.19964859384093
rand1exp,49,1.0887345741962393,6.769009792655216,481.7249338498116,115.28784007551593
rand1exp,49,1.0887345741962393,6.769009792655216,481.9949656767845,161.30398829495527
rand2bin,49,2.8287407969670064,12.565096012794168,499.942172652483,232.08082120630604
rand2exp,49,3.492706317191919,10.495803443110468,498.69441654133794,209.04838163162597
